mode: atomic
luckgo/model/config.go:60.32,64.2 3 1
luckgo/model/config.go:66.37,67.25 1 1
luckgo/model/config.go:71.2,71.25 1 1
luckgo/model/config.go:75.2,75.27 1 1
luckgo/model/config.go:79.2,79.27 1 1
luckgo/model/config.go:83.2,83.27 1 1
luckgo/model/config.go:67.25,69.3 1 1
luckgo/model/config.go:71.25,73.3 1 1
luckgo/model/config.go:75.27,77.3 1 1
luckgo/model/config.go:79.27,81.3 1 1
luckgo/model/config.go:83.27,85.3 1 1
luckgo/model/config.go:88.41,89.27 1 1
luckgo/model/config.go:89.27,91.3 1 1
luckgo/model/config.go:94.37,95.26 1 1
luckgo/model/config.go:99.2,99.23 1 1
luckgo/model/config.go:95.26,97.3 1 1
luckgo/model/config.go:99.23,101.3 1 1
luckgo/model/config.go:104.34,104.47 1 2
luckgo/model/config.go:105.34,105.47 1 3
luckgo/model/config.go:106.34,106.47 1 2
luckgo/model/config.go:108.40,116.2 7 1
luckgo/model/config.go:118.32,121.2 2 1
luckgo/model/config.go:123.74,133.2 1 1
luckgo/model/config.go:135.26,137.2 1 0
luckgo/model/config.go:139.34,140.20 1 1
luckgo/model/config.go:144.2,148.16 4 1
luckgo/model/config.go:153.2,154.16 2 1
luckgo/model/config.go:158.2,159.8 2 1
luckgo/model/config.go:140.20,142.3 1 0
luckgo/model/config.go:148.16,151.3 2 0
luckgo/model/config.go:154.16,157.3 2 0
luckgo/model/server.go:21.34,25.2 3 2
luckgo/model/server.go:27.53,37.63 5 1
luckgo/model/server.go:40.2,40.12 1 0
luckgo/model/server.go:37.63,39.3 1 1
luckgo/model/server.go:43.50,44.34 1 1
luckgo/model/server.go:47.2,47.39 1 1
luckgo/model/server.go:50.2,50.42 1 1
luckgo/model/server.go:44.34,46.3 1 1
luckgo/model/server.go:47.39,49.3 1 1
luckgo/model/sqlSupplier.go:35.36,44.2 3 2
luckgo/model/sqlSupplier.go:46.41,49.50 2 2
luckgo/model/sqlSupplier.go:60.2,60.56 1 2
luckgo/model/sqlSupplier.go:69.2,69.8 1 2
luckgo/model/sqlSupplier.go:49.50,52.3 2 2
luckgo/model/sqlSupplier.go:52.8,54.62 2 0
luckgo/model/sqlSupplier.go:54.62,57.4 1 0
luckgo/model/sqlSupplier.go:60.56,62.3 1 2
luckgo/model/sqlSupplier.go:62.8,64.68 2 0
luckgo/model/sqlSupplier.go:64.68,67.4 1 0
luckgo/model/sqlSupplier.go:72.120,77.40 5 2
luckgo/model/sqlSupplier.go:95.2,95.40 1 2
luckgo/model/sqlSupplier.go:112.2,123.11 5 2
luckgo/model/sqlSupplier.go:77.40,79.17 2 3
luckgo/model/sqlSupplier.go:79.17,81.9 2 2
luckgo/model/sqlSupplier.go:82.9,83.33 1 1
luckgo/model/sqlSupplier.go:83.33,88.5 4 0
luckgo/model/sqlSupplier.go:88.10,91.5 2 1
luckgo/model/sqlSupplier.go:95.40,97.40 2 2
luckgo/model/sqlSupplier.go:97.40,98.9 1 2
luckgo/model/sqlSupplier.go:99.9,100.31 1 0
luckgo/model/sqlSupplier.go:100.31,105.5 4 0
luckgo/model/sqlSupplier.go:105.10,108.5 2 0
luckgo/model/sqlSupplier.go:125.45,127.2 1 1
luckgo/model/sqlSupplier.go:129.52,132.2 2 0
luckgo/model/sqlSupplier.go:134.46,137.2 2 0
luckgo/model/sqlSupplier.go:139.55,141.2 1 1
luckgo/model/sqlSupplier.go:143.53,145.50 1 1
luckgo/model/sqlSupplier.go:149.2,150.33 2 0
luckgo/model/sqlSupplier.go:154.2,154.14 1 0
luckgo/model/sqlSupplier.go:145.50,147.3 1 1
luckgo/model/sqlSupplier.go:150.33,152.3 1 0
luckgo/model/sqlSupplier.go:157.55,158.56 1 1
luckgo/model/sqlSupplier.go:162.2,163.39 2 0
luckgo/model/sqlSupplier.go:167.2,167.14 1 0
luckgo/model/sqlSupplier.go:158.56,160.3 1 1
luckgo/model/sqlSupplier.go:163.39,165.3 1 0
luckgo/model/sqlSupplier.go:170.32,173.38 3 1
luckgo/model/sqlSupplier.go:173.38,175.3 1 1
luckgo/model/utils.go:57.30,58.14 1 4
luckgo/model/utils.go:61.2,61.64 1 4
